Sport,Average Cost per Year for One Child ,Average Length in Years of Participation,Ratio
Field hockey,"$2,125 ",5.1,$416.67 
Skiing/snowboarding,"$2,249 ",4.3,$523.02 
Flag football,$268 ,4.1,$65.37 
Baseball,$660 ,3.3,$200.00 
Basketball,$427 ,3.2,$133.44 
Swimming,$786 ,3.2,$245.63 
Ice hockey,"$2,583 ",3.1,$833.23 
Gymnastics,"$1,580 ",3,$526.67 
All sports,$693 ,2.9,$238.97 
Soccer,$537 ,3,$179.00 
Tackle football,$485 ,2.8,$173.21 
Softball,$613 ,2.8,$218.93 
Golf,$925 ,2.8,$330.36 
Skateboarding,$380 ,2.8,$135.71 
Martial arts,$777 ,2.6,$298.85 
Bicycling,"$1,012 ",2.5,$404.80 
Lacrosse,"$1,289 ",2.2,$585.91 
Volleyball,$595 ,2,$297.50 
Track and field,$191 ,2,$95.50 
Tennis,"$1,170 ",1.9,$615.79 
Cross country,$421 ,1.7,$247.65 
Wrestling,$476 ,1.6,$297.50 
